position,player,team,age,total_value,avg_year,total_guaranteed,fully_guaranteed,free_agency,MAX,MIN,sum,sumif,sumifs,If,ifs,len,left,right,trim,concatenate,substitute,substitute,xlookup,vlookup
right-tackle,Trent Brown,Raiders,26,66000000,16500000,36250000,36250000,2023 UFA,35000000,0,43003375062,930725,3350,Young,#N/A,11,Trent ,iders,Trent Brown,Packers - Za’Darius Smith,Packers - ZaaDarius Smith,Packers - ZaaDarius Smith,#NAME?,
3-4-outside-linebacker,Za’Darius Smith,Packers,26,66000000,16500000,20000000,20000000,2023 UFA,,,,,,Young,#N/A,17,Za’D,ckers,Za’Darius Smith,Packers - Za’Darius Smith,Packers - ZaaDarius Smith,,,
linebacker,Za’Darius Smith,Packers,26,66000000,16500000,20000000,20000000,2023 UFA,,,,,,Young,#N/A,17,Za’D,ckers,Za’Darius Smith,Cardinals - Chandler Jones,Cardinals - Chandler Jones,,,
defensive-line,Chandler Jones,Cardinals,29,82500000,16500000,53000000,31000000,2022 UFA,,,,,,Young,#N/A,14,Chandl,inals,Chandler Jones,Bengals - Geno Atkins,Bengals - Geno Atkins,,,
defensive-line,Geno Atkins,Bengals,31,65200000,16300000,17000000,17000000,2023 UFA,,,,,,old,#N/A,11,Geno A,ngals,Geno Atkins,Bengals - Geno Atkins,Bengals - Geno Atkins,,,
4-3-defensive-tackle,Geno Atkins,Bengals,31,65200000,16300000,17000000,17000000,2023 UFA,,,,,,old,#N/A,11,Geno A,ngals,Geno Atkins,Cardinals - Chandler Jones,Cardinals - Chandler Jones,,,
4-3-defensive-end,Chandler Jones,Cardinals,29,82500000,16500000,53000000,31000000,2022 UFA,,,,,,Young,#N/A,14,Chandl,inals,Chandler Jones,Packers - Za’Darius Smith,Packers - ZaaDarius Smith,,,
edge-rusher,Za’Darius Smith,Packers,26,66000000,16500000,20000000,20000000,2023 UFA,,,,,,Young,#N/A,17,Za’D,ckers,Za’Darius Smith,Cardinals - Chandler Jones,Cardinals - Chandler Jones,,,
edge-rusher,Chandler Jones,Cardinals,29,82500000,16500000,53000000,31000000,2022 UFA,,,,,,Young,#N/A,14,Chandl,inals,Chandler Jones,Bengals - Geno Atkins,Bengals - Geno Atkins,,,
interior-defensive-line,Geno Atkins,Bengals,31,65200000,16300000,17000000,17000000,2023 UFA,,,,,,old,#N/A,11,Geno A,ngals,Geno Atkins,Raiders - Trent Brown,Raiders - Trent Brown,,,
offensive-line,Trent Brown,Raiders,26,66000000,16500000,36250000,36250000,2023 UFA,,,,,,Young,#N/A,11,Trent ,iders,Trent Brown,Buccaneers - Mike Evans,Buccaneers - Mike Evans,,,
wide-receiver,Mike Evans,Buccaneers,26,82500000,16500000,55008000,38258000,2024 UFA,,,,,,Young,#N/A,10,Mike E,neers,Mike Evans,Broncos - Ja’Wuan James,Broncos - JaaWuan James,,,
right-tackle,Ja’Wuan James,Broncos,27,51000000,12750000,32000000,27000000,2023 UFA,,,,,,Young,#N/A,15,Ja’W,oncos,Ja’Wuan James,Eagles - Lane Johnson,Eagles - Lane Johnson,Eagles - Lane Johnson,,
right-tackle,Lane Johnson,Eagles,29,56250000,11250000,35500000,20862242,2022 Void,,,,,,Young,#N/A,12,Lane J,agles,Lane Johnson,Lions - Ricky Wagner,Lions - Ricky Wagner,Lions - Ricky Wagner,,
right-tackle,Ricky Wagner,Lions,30,47500000,9500000,29500000,17500000,2022 UFA,,,,,,Young,Thirty,12,Ricky ,Lions,Ricky Wagner,Rams - Rob Havenstein,Rams - Rob Havenstein,Rams - Rob Havenstein,,
right-tackle,Rob Havenstein,Rams,26,32500000,8125000,16226365,9976365,2023 UFA,count,countif,,,,Young,#N/A,14,Rob Ha,Rams,Rob Havenstein,Redskins - Morgan Moses,Redskins - Morgan Moses,Redskins - Morgan Moses,,
right-tackle,Morgan Moses,Redskins,28,40000000,8000000,20000000,14047000,2023 UFA,0,152,,,,Young,#N/A,12,Morgan,skins,Morgan Moses,Bears - Bobby Massie,Bears - Bobby Massie,Bears - Bobby Massie,,
right-tackle,Bobby Massie,Bears,30,32000000,8000000,15800000,15800000,2023 Void,0,,,,,Young,Thirty,12,Bobby ,Bears,Bobby Massie,Cowboys - La’el Collins,Cowboys - Laael Collins,Cowboys - Laael Collins,,
right-tackle,La’el Collins,Cowboys,26,15400000,7700000,15400000,9500000,2020 UFA,5523,,,,,Young,#N/A,15,La’e,wboys,La’el Collins,Browns - Chris Hubbard,Browns - Chris Hubbard,Browns - Chris Hubbard,,
right-tackle,Chris Hubbard,Browns,28,36500000,7300000,15150000,9000000,2023 UFA,,,,,,Young,#N/A,13,Chris ,rowns,Chris Hubbard,Packers - Bryan Bulaga,Packers - Bryan Bulaga,Packers - Bryan Bulaga,,
right-tackle,Bryan Bulaga,Packers,30,33750000,6750000,8000000,8000000,2020 UFA,,,,,,Young,Thirty,12,Bryan ,ckers,Bryan Bulaga,Chiefs - Mitchell Schwartz,Chiefs - Mitchell Schwartz,Chiefs - Mitchell Schwartz,,
right-tackle,Mitchell Schwartz,Chiefs,30,33000000,6600000,15000000,12660000,2021 UFA,Conditional fotmatting,,,,,Young,Thirty,17,Mitche,hiefs,Mitchell Schwartz,Patriots - Marcus Cannon,Patriots - Marcus Cannon,,,
right-tackle,Marcus Cannon,Patriots,31,32500000,6500000,14500000,12350000,2022 UFA,1,2,3,4,,old,#N/A,13,Marcus,riots,Marcus Cannon,Panthers - Daryl Williams,Panthers - Daryl Williams,,,
right-tackle,Daryl Williams,Panthers,26,6000000,6000000,3000000,3000000,2020 UFA,9,8,7,6,,Young,#N/A,14,Daryl ,thers,Daryl Williams,Cardinals - Marcus Gilbert,Cardinals - Marcus Gilbert,,,
right-tackle,Marcus Gilbert,Cardinals,31,30000000,6000000,7650000,7650000,2020 UFA,,,,,,old,#N/A,14,Marcus,inals,Marcus Gilbert,Titans - Cody Conway,Titans - Cody Conway,,,
right-tackle,Cody Conway,Titans,23,1765000,5888333,25000,25000,2022 RFA,,,,,,Young,#N/A,11,Cody C,itans,Cody Conway,Buccaneers - Demar Dotson,Buccaneers - Demar Dotson,,,
right-tackle,Demar Dotson,Buccaneers,34,16500000,5500000,8500000,4250000,2020 UFA,,,,,,old,#N/A,12,Demar ,neers,Demar Dotson,Bengals - Bobby Hart,Bengals - Bobby Hart,,,
right-tackle,Bobby Hart,Bengals,25,16150000,5383333,6500000,5500000,2022 UFA,100,50,150,300,75,Young,#N/A,10,Bobby ,ngals,Bobby Hart,Falcons - Ty Sambrailo,Falcons - Ty Sambrailo,,,
right-tackle,Ty Sambrailo,Falcons,27,14250000,4750000,6000000,5000000,2022 UFA,,,,,,Young,#N/A,12,Ty Sam,lcons,Ty Sambrailo,49ers - Mike McGlinchey,49ers - Mike McGlinchey,,,
right-tackle,Mike McGlinchey,49ers,24,18341876,4585469,18341876,18341876,2022 UFA,,,,,,Young,#N/A,15,Mike M,49ers,Mike McGlinchey,Ravens - James Hurst,Ravens - James Hurst,,,
right-tackle,James Hurst,Ravens,28,17500000,4375000,8000000,6000000,2022 UFA,,,,,,Young,#N/A,11,James ,avens,James Hurst,Texans - Seantrel Henderson,Texans - Seantrel Henderson,,,
right-tackle,Seantrel Henderson,Texans,27,4200000,4200000,1250000,900000,2020 UFA,,,,,,Young,#N/A,18,Seantr,exans,Seantrel Henderson,Titans - Jack Conklin,Titans - Jack Conklin,,,
right-tackle,Jack Conklin,Titans,25,15897658,3974415,15897658,15897658,2020 UFA,,,,,,Young,#N/A,12,Jack C,itans,Jack Conklin,Seahawks - George Fant,Seahawks - George Fant,,,
right-tackle,George Fant,Seahawks,27,3095000,3095000,0,0,2020 UFA,,,,,,Young,#N/A,11,George,hawks,George Fant,Falcons - Kaleb McGary,Falcons - Kaleb McGary,,,
right-tackle,Kaleb McGary,Falcons,0,10265742,2566436,9195437,9195437,2023 UFA,,,,,,Young,#N/A,12,Kaleb ,lcons,Kaleb McGary,Bears - Khalil Mack,Bears - Khalil Mack,,,
3-4-outside-linebacker,Khalil Mack,Bears,28,141000000,23500000,90000000,60000000,2025 UFA,,,,,,Young,#N/A,11,Khalil,Bears,Khalil Mack,Broncos - Von Miller,Broncos - Von Miller,,,
