Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,21,6,6,501,5.6,1,1,1,0,0,2,0,0.18,0.18,0.36,0.18,0.36,1.2,1.2,0.4,1.6,0.22,0.07,0.29,0.22,0.29,Matches,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26,6,5,462,5.1,2,0,2,0,0,0,0,0.39,0,0.39,0.39,0.39,1.1,1.1,1,2.1,0.22,0.19,0.41,0.22,0.41,Matches,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,23,6,6,540,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.2,0.3,0.01,0.04,0.05,0.01,0.05,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,24,7,7,630,7,1,0,1,0,0,0,0,0.14,0,0.14,0.14,0.14,0.1,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches,c81d773d
5,Rayan Aït Nouri,fr FRA,DF,Wolves,21,6,5,451,5,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.8,1,0.03,0.17,0.2,0.03,0.2,Matches,9b398aea
6,Kristoffer Ajer,no NOR,DF,Brentford,24,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a8c0acb7
7,Manuel Akanji,ch SUI,DF,Manchester City,27,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,89ac64a6
8,Nathan Aké,nl NED,DF,Manchester City,27,4,3,211,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.07,0,0.07,0.07,0.07,Matches,eaeca114
9,Thiago Alcántara,es ESP,MF,Liverpool,31,1,1,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.25,0.25,0,0.25,Matches,77e84962
10,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,6,6,480,5.3,1,0,1,0,0,1,0,0.19,0,0.19,0.19,0.19,0.3,0.3,0.7,1,0.06,0.14,0.19,0.06,0.19,Matches,cd1acf9d
